ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
189.125.18.5,5.18.125.189.static.impsat.net.br.,3549,LVLT-3549,BR,Mandirituba,,,false,0.78,2021-02-11T21:08:26Z,2020-07-31T13:19:05Z
54.94.175.250,ec2-54-94-175-250.sa-east-1.compute.amazonaws.com.,16509,AMAZON-02,BR,São Paulo,dnsmasq-2.68,,false,1.00,2020-12-14T01:28:53Z,2020-08-11T01:23:12Z
177.15.67.65,,53237,TELECOMUNICACOES BRASILEIRAS S. A. - TELEBRAS,BR,Niquelandia,dnsmasq-2.62,,false,1.00,2020-09-15T12:50:11Z,2020-09-02T08:53:33Z
177.43.35.247,177.43.35.247.static.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Florianópolis,dnsmasq-2.78,,false,0.70,2021-02-08T09:08:47Z,2020-09-02T08:53:40Z
177.52.232.7,,52839,RSS SOCIEDADE CIVIL LTDA,BR,São Paulo,Microsoft DNS 6.1.7601 (1DB14556),,false,0.99,2020-09-21T22:51:02Z,2020-09-02T08:54:06Z
177.66.203.10,ns1.downup.net.br.,53004,Downup Telecomunicacoes e servico LTDA,BR,Catu,9.10.3-P4-Debian,,true,1.00,2020-09-06T15:00:16Z,2020-09-02T08:54:09Z
177.92.0.90,90.0.92.177.static.copel.net.,14868,COPEL Telecomunicacoes S.A.,BR,Cerro Azul,[secured],,false,0.96,2020-09-06T15:00:24Z,2020-09-02T08:54:22Z
177.135.204.163,cmlitoral.static.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Salvador,,,false,1.00,2020-09-08T13:00:24Z,2020-09-02T08:54:25Z
177.159.232.52,cooperativa.static.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Campina Grande,dnsmasq-2.47,,false,0.65,2021-02-12T11:11:39Z,2020-09-02T08:54:35Z
177.159.232.53,cooperativa.static.gvt.net.br.,18881,TELEFONICA BRASIL S.A,BR,Campina Grande,dnsmasq-2.47,,false,1.00,2020-09-06T15:00:30Z,2020-09-02T08:54:37Z
177.184.131.54,,28368,SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME,BR,Fortaleza,,,false,0.98,2020-09-08T13:00:23Z,2020-09-02T08:54:39Z
177.184.131.180,,28368,SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME,BR,Fortaleza,9.8.1-P1,,false,1.00,2020-09-06T15:00:37Z,2020-09-02T08:54:42Z
186.194.224.82,186.194.224.82.cabonnet.com.br.,53143,R&R PROVEDOR DE INTERNET LTDA,BR,Presidente Prudente,,,false,0.81,2021-02-08T07:12:03Z,2020-09-02T08:54:55Z
186.215.128.142,,18881,TELEFONICA BRASIL S.A,BR,Porto Alegre,,,false,1.00,2020-09-06T15:00:19Z,2020-09-02T08:54:57Z
186.225.194.29,,53174,Pannet Servicos On Line Ltda,BR,Encantado,,,false,0.95,2020-09-06T15:00:15Z,2020-09-02T08:55:08Z
187.1.175.81,,28252,WorldNet Telecom Comercio e Servicos de Telecomuni,BR,Recife,,,false,1.00,2020-09-06T15:00:13Z,2020-09-02T08:55:11Z
187.6.84.178,mxbr01.sbadv.com.br.,8167,Brasil Telecom S/A - Filial Distrito Federal,BR,Corumbá,Microsoft DNS 6.1.7601 (1DB15CD4),,false,1.00,2020-09-08T13:00:20Z,2020-09-02T08:55:16Z
187.32.81.223,187-032-081-223.static.ctbctelecom.com.br.,16735,ALGAR TELECOM S/A,BR,Alvorada,Microsoft DNS 6.0.6003 (1773501D),,false,0.89,2020-09-06T15:00:14Z,2020-09-02T08:55:30Z
187.44.1.140,187-44-1-140.mcl-fb.mastercabo.com.br.,28202,Rede Brasileira de Comunicacao Ltda,BR,Claro dos Pocoes,,,false,1.00,2020-09-06T15:00:20Z,2020-09-02T08:55:32Z
187.61.9.42,cepa01.dominiotemporarioidc.com.,19089,UOL DIVEO S.A.,BR,,Microsoft DNS 6.0.6002 (1772487D),,false,0.68,2021-02-12T11:11:15Z,2020-09-02T08:55:37Z
189.42.239.34,,4230,CLARO S.A.,BR,Rio de Janeiro,dnsmasq-2.41,,true,1.00,2020-09-08T13:00:16Z,2020-09-02T08:55:49Z
189.111.254.56,189-111-254-56.dsl.telesp.net.br.,27699,TELEFONICA BRASIL S.A,BR,São Paulo,,,false,0.99,2020-09-08T13:00:16Z,2020-09-02T08:55:59Z
189.113.75.5,189-113-75-5.static.sumicity.net.br.,28210,SUMICITY TELECOMUNICACOES S.A.,BR,Mage,,,false,0.93,2021-03-03T13:20:02Z,2020-09-02T08:56:02Z
200.99.138.94,,10429,TELEFONICA BRASIL S.A,BR,,,,false,0.66,2020-09-18T00:56:34Z,2020-09-02T08:56:15Z
200.99.138.103,,10429,TELEFONICA BRASIL S.A,BR,,,,false,0.71,2020-09-21T22:51:03Z,2020-09-02T08:56:17Z
200.142.160.54,telespazio.net.br.,26104,Telespazio Brasil S.A.,BR,,,,false,1.00,2020-09-18T00:56:43Z,2020-09-02T08:56:24Z
200.159.205.12,,23106,AMERICAN TOWER DO BRASIL-COMUNICACAO MULTIMIDIA LT,BR,Contagem,Not disclosed,,false,1.00,2020-09-18T00:56:28Z,2020-09-02T08:56:36Z
200.162.136.138,,22177,Transit do Brasil S/A,BR,São Paulo,,,false,0.99,2020-09-18T00:56:36Z,2020-09-02T08:56:38Z
200.162.142.66,,22177,Transit do Brasil S/A,BR,São Paulo,,,false,1.00,2020-11-12T01:12:07Z,2020-09-02T08:56:40Z
200.167.191.114,,4230,CLARO S.A.,BR,,dnsmasq-2.55,,true,0.99,2020-09-18T00:56:28Z,2020-09-02T08:56:42Z
200.172.90.4,,4230,CLARO S.A.,BR,Brasília,dnsmasq-2.48,,true,1.00,2020-09-18T00:56:30Z,2020-09-02T08:56:46Z
200.174.105.3,,4230,CLARO S.A.,BR,São Paulo,,,false,1.00,2020-09-18T00:56:28Z,2020-09-02T08:56:49Z
200.179.97.194,,4230,CLARO S.A.,BR,Cuiabá,dnsmasq-2.55,,true,1.00,2020-09-18T00:56:27Z,2020-09-02T08:56:53Z
200.195.180.226,srv-01-zmbombas-fw01.zmbombas.com.br.,14868,COPEL Telecomunicacoes S.A.,BR,Maringá,,,false,1.00,2020-09-18T00:56:31Z,2020-09-02T08:56:58Z
200.223.129.162,,7738,Telemar Norte Leste S.A.,BR,,Microsoft DNS 6.1.7601 (1DB15F75),,false,1.00,2020-09-08T23:01:42Z,2020-09-02T08:57:30Z
186.216.63.97,186-216-63-97-CORPORATIVO-CLIENTE-48994.metroflex.com.br.,262663,METROFLEX TELECOMUNICACOES LTDA,BR,Sao Goncalo,,,false,0.97,2020-09-18T00:56:42Z,2020-09-02T08:58:50Z
138.36.1.131,138-36-1-131.texnet.net.br.,264562,TEX NET SERVICOS DE COMUNICACAO EM INFORMATICA LTD,BR,Fortaleza,dnsmasq-2.55,,true,0.97,2021-02-13T00:02:13Z,2020-09-28T21:09:16Z
138.36.1.111,138-36-1-111.texnet.net.br.,264562,TEX NET SERVICOS DE COMUNICACAO EM INFORMATICA LTD,BR,Fortaleza,,,false,0.29,2021-02-08T10:08:50Z,2020-09-28T21:09:19Z
177.104.118.42,,263655,T-NET WIRELESS E INFORMA&#769 TICA,BR,Fortaleza,,,false,0.82,2021-02-12T11:11:30Z,2020-09-28T21:25:29Z
177.104.127.114,ns1.tnetsolucoes.com.br.,263655,T-NET WIRELESS E INFORMA&#769 TICA,BR,Fortaleza,1.0.112,,false,0.99,2021-02-13T00:02:18Z,2020-09-28T21:25:31Z
177.37.175.131,,28126,BRISANET SERVICOS DE TELECOMUNICACOES LTDA,BR,Fortaleza,,,false,0.79,2021-03-03T13:21:40Z,2020-10-01T02:58:49Z
138.0.207.117,138.0.207.117.telnets.com.br.,264556,L. Garcia Comunicacoes ME,BR,Castilho,,,false,0.39,2021-02-08T16:08:49Z,2020-11-22T11:35:55Z
189.125.73.13,,3549,LVLT-3549,BR,São Paulo,,,false,0.99,2021-01-28T06:10:44Z,2020-11-22T11:37:21Z
192.146.229.22,ns2.multivix.edu.br.,61814,Empresa Brasileira de Ens.Peq.Extensao S/A-EMBRAE,BR,,,,false,0.81,2021-01-28T06:10:44Z,2020-11-22T11:37:30Z
200.194.198.76,ext02.travelexplorer.com.br.,3549,LVLT-3549,BR,,9.9.5-3ubuntu0.19-Ubuntu,,true,0.29,2021-02-08T12:12:13Z,2020-11-25T12:40:57Z
200.221.11.101,ravel.uol.com.br.,7162,Universo Online S.A.,BR,,,,true,0.82,2021-02-12T11:14:17Z,2020-12-12T04:43:16Z
186.219.242.26,,262997,FAAr turboNet LTDA.,BR,Ariquemes,,,false,0.61,2021-02-13T00:02:02Z,2020-12-12T04:47:39Z
189.90.241.10,189-90-241-10.corporate.valenet.com.br.,28201,Companhia Itabirana Telecomunicacoes Ltda,BR,Itabira,,,false,0.27,2021-03-03T12:27:26Z,2020-12-12T04:48:05Z
187.120.48.47,,262716,RRM SERVICOS DE INFORMATICA LTDA,BR,Sobral,,,false,0.80,2021-02-12T11:14:13Z,2020-12-12T04:48:31Z
201.44.177.131,,4230,CLARO S.A.,BR,,dnsmasq-2.47,,true,0.97,2021-03-03T13:19:47Z,2020-12-12T04:48:58Z
200.181.14.3,200.181.14.3.brasiltelecom.net.br.,8167,Brasil Telecom S/A - Filial Distrito Federal,BR,Primavera do Leste," :-) ",,false,0.75,2021-01-31T09:18:10Z,2020-12-12T04:54:38Z
131.221.81.1,test.cta4.,4809,China Telecom Next Generation Carrier Network,BR,,Who knows?,,false,0.43,2021-02-12T11:14:44Z,2020-12-12T04:54:48Z
179.108.248.9,dns1.bbctech.psi.br.,263276,BBG TELECOM,BR,Recife,,,true,0.69,2021-02-12T11:14:27Z,2020-12-12T04:55:02Z
